#,#,id,address,microdistrict_id,photo_url,marker,created_at,updated_at,is_deleted,category_id,district_id,sub_category_id,name_kz,name_ru,address_building_id,full_address
25,3981,649806,"ул.Байтурсынулы, 78 Б",,,POINT (76.926542 43.241785),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,2,32,Футбольное поле,Футбольное поле,166565,"ул.Байтурсынулы, 78 Б"
26,3984,651283,"ул.Досмухамедова, 117",,,POINT (76.925165 43.242486),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,2,32,Fusion Wellness Club,Fusion Wellness Club,166953,"ул.Досмухамедова, 117"
27,4067,651331,"мкр.Коктем-2, 9",108,,POINT (76.918456 43.228385),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,4,32,Республиканский колледж спорта,Республиканский колледж спорта,256374,"мкр.Коктем-2, 9"
28,4072,650104,"мкр.Коктем-2, 9",108,,POINT (76.918456 43.228385),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,4,32,Футбольное поле,Футбольное поле,256374,"мкр.Коктем-2, 9"
29,4139,651984,"пр.Рыскулова, 35",,,POINT (76.933831 43.293217),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,5,32,Площадка для воркаута,Площадка для воркаута,166841,"пр.Рыскулова, 35"
30,4145,651116,"пр.Рыскулова, 35",,,POINT (76.933864 43.29362),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,5,32,Спортивная площадка,Спортивная площадка,166841,"пр.Рыскулова, 35"
31,4157,651375,"ул.Сауранбаева, 5",,,POINT (76.94879 43.336765),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,8,32,Erbil Grand Hotel,Erbil Grand Hotel,339004,"ул.Сауранбаева, 5"
32,4174,651985,"пр.Рыскулова, 35",,,POINT (76.933864 43.29362),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,5,32,Площадка для воркаута,Площадка для воркаута,166841,"пр.Рыскулова, 35"
33,4176,650803,"ул.Валиханова, 28",,,POINT (76.951347 43.266679),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,6,32,Спортивная площадка,Спортивная площадка,166734,"ул.Валиханова, 28"
34,4217,650377,"ул.Майлина, 42 А",,,POINT (77.003985 43.344194),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,8,32,Футбольное поле,Футбольное поле,338937,"ул.Майлина, 42 А"
35,4267,651830,"пр.Достык, 103/10",,,POINT (76.961085 43.222191),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,6,32,Площадка для воркаута,Площадка для воркаута,168350,"пр.Достык, 103/10"
36,4268,649739,"пр.Достык, 105/1",,,POINT (76.960474 43.224005),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,6,32,Баскетбольная площадка,Баскетбольная площадка,255641,"пр.Достык, 105/1"
37,4285,649653,"пр.Гагарина, 186 А",,,POINT (76.897031 43.227431),2024-03-26 07:05:48.797546 +00:00,2024-10-03 07:16:01.744493 +00:00,false,5,4,32,Баскетбольная площадка,Баскетбольная площадка,165292,"пр.Гагарина, 186 А"
